,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
154,114x114,12996,7182,2,2,63.0,63,73,(0.1128836329946788+0.026098780432496513j),0.11586138674356093,16.98605966567993,5988
155,114x114,12996,6612,2,2,58.0,58,72,(0.11412127797648816+0.021627046418324122j),0.11615246542268153,17.514925718307495,6715
156,114x114,12996,5928,2,2,52.0,52,64,(0.13483556228686205+0j),0.13483556228686205,14.048360347747805,5983
157,114x114,12996,5244,2,2,46.0,46,61,(0.1269493017368995+0.03151847401854997j),0.13080343808915867,11.23351263999939,5390
158,114x114,12996,4560,2,2,40.0,40,52,(0.15405724009145885+0j),0.15405724009145885,9.928665161132812,5423
159,114x114,12996,3990,2,2,35.0,35,54,(0.1743869986621166+0.028095386369600153j),0.17663571563429115,7.600024223327637,4684
160,115x115,13225,10005,2,2,87.0,87,101,(0.07433278475517696+0.006752062751210896j),0.07463881859230997,38.48918986320496,9938
161,115x115,13225,9315,2,2,81.0,81,93,(0.08533371001692361+0.024478333412589214j),0.088775170356977,28.85927033424377,8034
162,115x115,13225,8625,2,2,75.0,75,85,(0.08902944796087023+0.01318917457707233j),0.09000109405024914,28.409046173095703,8531
163,115x115,13225,8050,2,2,70.0,70,84,(0.10058386207093864+0j),0.10058386207093864,24.79899525642395,7908
164,115x115,13225,7360,2,2,64.0,64,78,(0.10610267728902484+0.014442741280455059j),0.10708114168047102,19.17867541313172,6692
165,115x115,13225,6670,2,2,58.0,58,70,(0.134323246673075+0j),0.134323246673075,15.976942777633669,6121
166,115x115,13225,5980,2,2,52.0,52,69,(0.13033536473210797+0j),0.13033536473210797,14.119698762893677,5997
167,115x115,13225,5290,2,2,46.0,46,58,(0.12682623205179291+0.008438995430337246j),0.1271066866074656,11.640277862548828,5574
168,115x115,13225,4715,2,2,41.0,41,58,(0.154504654170371+0j),0.154504654170371,10.09297800064087,5319
169,115x115,13225,4025,2,2,35.0,35,46,(0.17540800880868962+0j),0.17540800880868962,8.077167510986328,4939
170,116x116,13456,10092,2,2,87.0,87,98,(0.08196552831320743+0j),0.08196552831320743,36.866051197052,9489
171,116x116,13456,9512,2,2,82.0,82,92,(0.08276975219757904+0j),0.08276975219757904,32.270875692367554,8428
172,116x116,13456,8816,2,2,76.0,76,88,(0.09471381065177492+0.00409316799123106j),0.09480221491286325,25.977807760238647,7472
173,116x116,13456,8120,2,2,70.0,70,81,(0.09643758039365236+0j),0.09643758039365236,23.902401208877563,7487
174,116x116,13456,7424,2,2,64.0,64,84,(0.1076077559614254+0j),0.1076077559614254,19.972655057907104,6882
175,116x116,13456,6844,2,2,59.0,59,72,(0.11253462448413536+0j),0.11253462448413536,17.912679433822632,6667
176,116x116,13456,6148,2,2,53.0,53,65,(0.1267063079891836+0.01036728709615089j),0.12712973344573592,12.647921800613403,5218
177,116x116,13456,5452,2,2,47.0,47,60,(0.1400892485226249+0.047131276843044016j),0.14780512443244118,12.252890825271606,5645
178,116x116,13456,4756,2,2,41.0,41,53,(0.1500027283294132+0.019134584506646152j),0.15121822254777934,9.410706520080566,4924
179,116x116,13456,4060,2,2,35.0,35,51,(0.17307118757113413+0.027581036176636414j),0.17525509842472378,7.20600700378418,4358
180,117x117,13689,10296,2,2,88.0,88,98,(0.0876243122771368+0j),0.0876243122771368,35.85504722595215,8995
181,117x117,13689,9594,2,2,82.0,82,99,(0.09755810889644934+0j),0.09755810889644934,31.673660278320312,8638
