,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,convergence_speed,convergence_iterations
137,112x112,12544,221,10,8,1.9732142857142858,3,2,(1.3124402728030349+0.376254766455271j),0.11868166923522949,792
138,112x112,12544,224,10,7,2.0,3,2,(1.4418064836736149+0j),0.12067842483520508,808
139,112x112,12544,222,12,8,1.9821428571428572,3,2,(1.4279622089848267+0.04965674123409858j),0.11388444900512695,782
140,113x113,12769,226,10,8,2.0,3,2,(1.3478232784879596+0j),0.13181138038635254,839
141,113x113,12769,226,10,8,2.0,3,2,(1.3732066332266255+0j),0.12705516815185547,809
142,113x113,12769,222,11,8,1.9646017699115044,3,2,(1.3123049727325453+0.24181266807352442j),0.1256999969482422,827
143,113x113,12769,226,11,8,2.0,3,2,(1.4419773140888295+0j),0.12581324577331543,812
144,113x113,12769,224,10,8,1.9823008849557522,3,2,(1.3274047968188114+0.14220461487114158j),0.11986327171325684,795
145,113x113,12769,226,11,8,2.0,3,2,(1.4182731918105937+0.018851086905124034j),0.12481141090393066,821
146,113x113,12769,223,10,8,1.9734513274336283,2,2,(1.354142077260855+0j),0.12501740455627441,818
147,113x113,12769,226,10,8,2.0,3,2,(1.4172960462028696+0.1024627121019413j),0.12885308265686035,810
148,113x113,12769,226,10,8,2.0,3,2,(1.4687792512762203+0j),0.12985968589782715,822
149,113x113,12769,226,9,8,2.0,3,2,(1.3575199911526794+0.16018645472757642j),0.1343686580657959,782
150,114x114,12996,227,10,8,1.9912280701754386,3,2,(1.3417374468643541+0.2369212975534505j),0.12758231163024902,802
151,114x114,12996,228,10,8,2.0,3,2,(1.377204310210165+0.09090421041233547j),0.131911039352417,825
152,114x114,12996,226,10,8,1.9824561403508771,3,2,(1.334383113391402+0.07134675773576413j),0.12466740608215332,801
153,114x114,12996,226,11,8,1.9824561403508771,3,2,(1.5557960031212463+0j),0.13110089302062988,845
154,114x114,12996,226,10,8,1.9824561403508771,2,2,(1.3250675001441852+0.2755371731141021j),0.1263413429260254,824
155,114x114,12996,227,10,8,1.9912280701754386,3,2,(1.4674925542869346+0j),0.12370491027832031,799
156,114x114,12996,227,10,8,1.9912280701754386,3,2,(1.3552325065594892+0.19169034577347407j),0.1336808204650879,832
157,114x114,12996,228,10,8,2.0,3,2,(1.472548298390719+0j),0.12778115272521973,808
158,114x114,12996,228,10,8,2.0,3,2,(1.4092153364533089+0.3950168743935269j),0.11780285835266113,792
159,114x114,12996,226,10,8,1.9824561403508771,3,2,(1.380963448868409+0j),0.12769508361816406,836
160,115x115,13225,229,11,8,1.991304347826087,3,2,(1.3806253317553319+0.193802136116043j),0.13464093208312988,843
161,115x115,13225,228,10,8,1.982608695652174,3,2,(1.3258854454171194+0j),0.12764430046081543,821
162,115x115,13225,229,10,8,1.991304347826087,3,2,(1.4249915720340482+0j),0.12470483779907227,810
163,115x115,13225,230,10,8,2.0,3,2,(1.386583572231322+0.0875912150218468j),0.1232917308807373,800
164,115x115,13225,229,10,8,1.991304347826087,3,2,(1.3798065554419199+0j),0.12669944763183594,813
165,115x115,13225,228,12,8,1.982608695652174,3,2,(1.4703754687607384+0j),0.12820768356323242,810
166,115x115,13225,229,10,8,1.991304347826087,3,2,(1.3739843902784319+0.11314524324892966j),0.1403968334197998,819
167,115x115,13225,230,10,7,2.0,3,2,(1.3614507453665454+0.13500283424096415j),0.14180946350097656,814
168,115x115,13225,228,10,8,1.982608695652174,3,2,(1.413196784755515+0j),0.12944602966308594,790
169,115x115,13225,226,11,8,1.9652173913043478,3,2,(1.3021743216759933+0.08564511426054681j),0.13327693939208984,796
170,116x116,13456,232,10,8,2.0,3,2,(1.3619367352580578+0j),0.13066983222961426,818
171,116x116,13456,232,10,8,2.0,3,2,(1.3254865522015922+0.2019958719760019j),0.13689398765563965,844
172,116x116,13456,231,11,8,1.9913793103448276,3,2,(1.3028896243286563+0j),0.12278437614440918,801
173,116x116,13456,230,10,8,1.9827586206896552,3,2,(1.3284046500275912+0j),0.1339428424835205,831
174,116x116,13456,230,10,8,1.9827586206896552,3,2,(1.341231141585539+0.20975357169049302j),0.12806200981140137,814
175,116x116,13456,232,10,8,2.0,3,2,(1.4523344224834647+0.16680814681402367j),0.13276100158691406,796
176,116x116,13456,230,11,8,1.9827586206896552,3,2,(1.3062241545913356+0j),0.13367795944213867,826
177,116x116,13456,232,10,8,2.0,3,2,(1.3578515058940326+0.42051045107223306j),0.13564825057983398,825
178,116x116,13456,229,11,8,1.9741379310344827,3,2,(1.3581617842514853+0.08190839336711597j),0.13633203506469727,849
179,116x116,13456,231,10,8,1.9913793103448276,3,2,(1.325640107074761+0j),0.13156580924987793,838
180,117x117,13689,234,10,8,2.0,3,2,(1.3212247168074533+0.06098917997924194j),0.12270951271057129,795
181,117x117,13689,234,10,8,2.0,3,2,(1.3756646327826372+0j),0.13164901733398438,840
182,117x117,13689,233,9,8,1.9914529914529915,3,2,(1.3481961358966446+0j),0.1394517421722412,805
183,117x117,13689,233,10,8,1.9914529914529915,3,2,(1.4110111004692631+0j),0.13471603393554688,808
184,117x117,13689,234,10,8,2.0,3,2,(1.3450597993414506+0.1815383719718269j),0.14169073104858398,806
185,117x117,13689,234,10,8,2.0,3,2,(1.3985582888801995+0j),0.14136409759521484,819
186,117x117,13689,234,10,8,2.0,3,2,(1.348092985852535+0j),0.1519784927368164,839
187,117x117,13689,232,10,8,1.982905982905983,3,2,(1.3791710980281857+0j),0.1326456069946289,821
188,117x117,13689,234,9,8,2.0,3,2,(1.3698237710682588+0j),0.12366962432861328,786
189,117x117,13689,232,11,8,1.982905982905983,3,2,(1.3975003342162635+0.28199068013858253j),0.13168549537658691,824
190,118x118,13924,235,11,8,1.9915254237288136,3,2,(1.3697319031188013+0.05412323658561291j),0.13372349739074707,836
191,118x118,13924,235,10,7,1.9915254237288136,3,2,(1.296636154830617+0.18494865227564056j),0.14177155494689941,830
192,118x118,13924,235,11,8,1.9915254237288136,3,2,(1.3033350728675783+0.20229169159951385j),0.12478470802307129,800
193,118x118,13924,235,10,8,1.9915254237288136,3,2,(1.325358368631306+0j),0.1350078582763672,820
194,118x118,13924,235,11,8,1.9915254237288136,3,2,(1.4470768166717867+0j),0.13444113731384277,807
195,118x118,13924,235,11,8,1.9915254237288136,3,2,(1.361042322300531+0.36604865256625974j),0.13889670372009277,848
196,118x118,13924,236,10,8,2.0,3,2,(1.3486625989091765+0.2833732296039408j),0.13324403762817383,806
197,118x118,13924,236,10,8,2.0,3,2,(1.3776593922478972+0j),0.12880492210388184,800
198,118x118,13924,235,11,8,1.9915254237288136,3,2,(1.3379231076548561+0.22399482560822162j),0.1442413330078125,866
199,118x118,13924,235,10,8,1.9915254237288136,3,2,(1.2906586811559144+0.055678451188854956j),0.13020062446594238,784
200,119x119,14161,236,10,8,1.9831932773109244,3,2,(1.364997716790547+0j),0.13492035865783691,811
201,119x119,14161,236,11,8,1.9831932773109244,3,2,(1.4631988479220261+0j),0.1500556468963623,831
202,119x119,14161,238,10,8,2.0,3,2,(1.4004908261765723+0.12212707653251301j),0.13960671424865723,828
203,119x119,14161,237,10,8,1.9915966386554622,3,2,(1.3906195079625152+0.06256286266266517j),0.1314706802368164,820
204,119x119,14161,237,11,8,1.9915966386554622,3,2,(1.3736400810279021+0.08922348071967928j),0.13429975509643555,817
205,119x119,14161,238,10,8,2.0,3,2,(1.346038099357695+0j),0.13231754302978516,817
206,119x119,14161,238,11,8,2.0,3,2,(1.3784338039125723+0.14511344203405357j),0.13881254196166992,835
207,119x119,14161,237,10,8,1.9915966386554622,3,2,(1.3495869146350443+0j),0.1270754337310791,809
208,119x119,14161,237,10,8,1.9915966386554622,3,2,(1.3446053738552666+0j),0.12871599197387695,805
209,119x119,14161,238,10,8,2.0,3,2,(1.3717073242232103+0.2561398529382028j),0.12581133842468262,800
210,11x11,121,21,5,3,1.9090909090909092,3,2,(0.9285775029206971+0j),0.017951011657714844,1026
211,11x11,121,22,5,3,2.0,3,2,(1.1435769727685023+0j),0.0197904109954834,1100
212,11x11,121,20,6,4,1.8181818181818181,3,2,(0.9999999999999994+0j),0.014959573745727539,947
213,11x11,121,20,6,4,1.8181818181818181,3,2,(0.8349852363140791+0.7653860934029106j),0.016514062881469727,910
214,11x11,121,21,6,3,1.9090909090909092,3,2,(1.093109013163532+0j),0.01495981216430664,804
215,11x11,121,21,6,4,1.9090909090909092,3,2,(1.000000000000001+0j),0.01695394515991211,990
216,11x11,121,22,6,4,2.0,2,2,(1.343821243890734+0.14034007373031734j),0.01795172691345215,1079
217,11x11,121,21,5,4,1.9090909090909092,2,2,(0.6914490323165119+0.9699651562909212j),0.019091367721557617,1026
218,11x11,121,22,4,3,2.0,3,2,(1.0577775970495362+0j),0.0187532901763916,1003
219,11x11,121,21,5,3,1.9090909090909092,2,2,(0.9850006499608901+0.3774041635790144j),0.015958070755004883,938
220,120x120,14400,239,10,8,1.9916666666666667,3,2,(1.4282459724180632+0.20993179283925986j),0.1318063735961914,823
221,120x120,14400,240,10,8,2.0,3,2,(1.4246955099725018+0.20951230170589985j),0.13067960739135742,785
222,120x120,14400,239,10,8,1.9916666666666667,3,2,(1.4022999614023817+0.17323124912432242j),0.12775135040283203,815
223,120x120,14400,238,10,8,1.9833333333333334,3,2,(1.330390300070866+0j),0.13866829872131348,811
224,120x120,14400,238,11,8,1.9833333333333334,3,2,(1.3833983095348157+0j),0.13220000267028809,809
225,120x120,14400,240,11,8,2.0,3,2,(1.4900318332660434+0j),0.14916729927062988,809
226,120x120,14400,239,10,8,1.9916666666666667,3,2,(1.329941929330495+0.44292900714355943j),0.14192700386047363,792
227,120x120,14400,240,10,8,2.0,3,2,(1.388754718321881+0.4316743298331796j),0.14261746406555176,800
228,120x120,14400,237,10,8,1.975,3,2,(1.3762258049308753+0j),0.14339542388916016,816
229,120x120,14400,239,11,8,1.9916666666666667,3,2,(1.3380347726671622+0.22067731048407882j),0.1326436996459961,810
230,121x121,14641,242,10,8,2.0,3,2,(1.4480199292002425+0.17183189527500656j),0.12916207313537598,782
231,121x121,14641,242,10,8,2.0,3,2,(1.483035885979387+0j),0.13396906852722168,799
232,121x121,14641,241,11,8,1.9917355371900827,3,2,(1.5051272851345452+0j),0.13661813735961914,822
233,121x121,14641,242,10,8,2.0,3,2,(1.4106685646827255+0j),0.13065123558044434,804
234,121x121,14641,241,10,8,1.9917355371900827,2,2,(1.3281268143770881+0.29185036437259637j),0.13881158828735352,807
235,121x121,14641,242,11,8,2.0,3,2,(1.5046814952493381+0j),0.14126801490783691,815
236,121x121,14641,241,10,8,1.9917355371900827,3,2,(1.312321891709617+0.5866586665570724j),0.1292126178741455,775
237,121x121,14641,240,11,8,1.9834710743801653,3,2,(1.3732279369414304+0.09953283281728424j),0.1357874870300293,845
238,121x121,14641,240,10,8,1.9834710743801653,3,2,(1.3846516808080411+0j),0.1387786865234375,825
239,121x121,14641,239,10,8,1.975206611570248,3,2,(1.3544547031509548+0.16321989438422246j),0.1340324878692627,797
240,122x122,14884,243,10,8,1.9918032786885247,3,2,(1.3450824653437525+0.021954924127210045j),0.14373373985290527,802
241,122x122,14884,243,10,8,1.9918032786885247,3,2,(1.3514253940011074+0.06866441198285073j),0.14467430114746094,825
242,122x122,14884,242,11,8,1.9836065573770492,3,2,(1.4229556036805522+0j),0.1447315216064453,816
243,122x122,14884,242,10,8,1.9836065573770492,3,2,(1.3959675996059968+0j),0.1500413417816162,823
244,122x122,14884,244,10,8,2.0,3,2,(1.3453596056443917+0.1271613432907134j),0.1454637050628662,827
245,122x122,14884,243,10,7,1.9918032786885247,3,2,(1.4092906897312605+0.17886853144897802j),0.13993430137634277,828
